COUNTY,2013 COUNT,2013 RATE,2014 COUNT,2014 RATE,2015 COUNT,2015 RATE,2016 COUNT,2016 RATE,2017 COUNT,2017 RATE
Adams,0,0,1,5.2,3,*,0,0,0,0
Asotin,2,*,1,4.6,1,*,0,0,1,*
Benton,12,6.5,9,4.9,8,4.2,12,6.3,11,5.7
Chelan,5,6.8,3,4,4,*,1,*,2,*
Clallam,2,*,0,0,2,*,0,0,4,*
Clark,51,11.7,27,6.1,45,10,25,5.4,38,8.1
Columbia,0,0,0,0,0,0,0,0,0,0
Cowlitz,0,0,3,*,8,7.7,3,*,6,5.7
Douglas,0,0,0,0,1,*,0,0,0,0
Ferry,0,0,0,0,0,0,0,0,0,0
Franklin,4,*,6,6.9,2,*,4,*,0,0
Garfield,0,0,1,*,1,*,1,*,0,0
Grant,6,6.5,5,5.4,9,9.6,3,*,7,7.3
Grays Harbor,2,*,5,6.8,4,*,1,*,1,*
Island,6,7.5,2,*,3,*,0,0,2,*
Jefferson,0,0,0,0,2,*,0,0,3,*
King,72,3.6,93,4.6,113,5.5,121,5.7,129,6
Kitsap,1,*,9,3.5,3,*,5,1.9,6,2.3
Kittitas,6,14.3,7,16.6,4,*,4,*,9,20.1
Klickitat,1,*,2,*,0,0,0,0,2,*
Lewis,6,7.9,8,10.5,6,7.8,7,9.1,3,*
Lincoln,1,*,1,*,1,*,0,0,1,*
Mason,2,*,1,*,0,0,3,*,2,*
Okanogan,2,*,2,*,1,*,1,*,2,*
Pacific,0,0,0,0,0,0,0,0,1,*
Pend Oreille,0,0,0,0,0,0,2,*,0,0
Pierce,14,1.7,16,1.9,26,3.1,33,3.9,41,4.8
San Juan,2,*,0,0,0,0,4,*,1,*
Skagit,9,7.6,11,9.2,12,9.9,10,8.2,9,7.3
Skamania,0,0,0,0,0,0,0,0,0,0
Snohomish,42,5.7,22,3,35,4.6,26,3.4,32,4.1
Spokane,19,4,16,3.3,17,3.5,17,3.5,22,4.4
Stevens,4,*,1,*,2,*,2,*,0,0
Thurston,20,7.7,14,5.3,8,3,13,4.8,16,5.8
Wahkiakum,0,0,0,0,0,0,0,0,0,0
Walla Walla,2,*,1,*,1,*,1,*,1,*
Whatcom,15,7.3,17,8.2,75,35.8,17,8,24,11.1
Whitman,0,0,0,0,2,*,1,*,0,0
Yakima,22,8.9,15,6,20,8,23,9.2,28,11.1
