"",,,ANAPLAS-,,,,CAMPYLO-,,
"",AIDS*,AMEBIASIS,MOSIS,BABESIOSIS,BOTULISM,BRUCELLOSIS,BACTERIOSIS,CHLAMYDIA,CHIKUNGUNYA
ALBANY,13,6,68,12,0,0,59,1692,0
ALLEGANY,0,0,0,0,0,0,11,94,0
BROOME,12,0,0,0,0,0,20,645,0
CATTARAUGUS,2,1,0,0,0,0,16,280,0
CAYUGA,2,0,0,0,0,0,19,242,0
CHAUTAUQUA,3,1,0,0,0,0,25,499,0
CHEMUNG,3,0,0,0,0,0,33,385,0
CHENANGO,1,0,1,0,0,1,12,126,0
CLINTON,4,0,0,0,0,0,12,336,0
COLUMBIA,2,1,74,23,0,0,2,153,0
CORTLAND,1,0,0,0,0,0,8,195,0
DELAWARE,1,0,0,2,0,1,28,153,0
DUTCHESS,9,5,78,75,0,0,35,907,0
ERIE,62,8,0,1,0,0,84,5063,3
ESSEX,2,0,5,0,0,0,13,42,0
FRANKLIN,3,0,0,0,0,0,12,118,0
FULTON,0,0,1,0,0,0,1,200,0
GENESEE,0,0,0,0,0,0,5,170,0
GREENE,1,0,41,11,0,0,10,151,0
HAMILTON,0,0,1,0,0,0,1,7,0
HERKIMER,0,0,0,1,0,0,16,151,0
JEFFERSON,4,0,0,0,0,0,21,593,0
LEWIS,0,0,0,0,0,0,17,45,0
LIVINGSTON,1,0,0,1,0,0,5,113,0
MADISON,1,0,0,0,0,0,11,165,0
MONROE,33,4,0,2,1,0,111,4735,1
MONTGOMERY,2,0,0,0,0,0,11,157,0
NASSAU,73,21,1,8,0,0,291,3551,13
NIAGARA,9,1,0,0,0,0,22,837,1
ONEIDA,8,1,1,0,0,0,16,804,0
ONONDAGA,29,0,0,0,0,0,81,2649,0
ONTARIO,2,0,0,0,0,0,13,343,0
ORANGE,9,4,36,27,0,0,40,1216,1
ORLEANS,1,0,0,0,0,1,4,157,0
OSWEGO,4,0,0,0,0,0,13,478,0
OTSEGO,1,1,0,0,0,0,25,275,0
PUTNAM,0,4,16,17,0,0,14,168,1
RENSSELAER,2,0,144,25,0,0,12,703,0
ROCKLAND,2,3,6,14,0,0,87,762,1
ST. LAWRENCE,2,0,3,0,0,0,15,334,0
SARATOGA,4,0,50,1,0,0,26,523,0
SCHENECTADY,3,0,4,0,0,0,18,789,0
SCHOHARIE,1,0,2,0,0,0,4,122,0
SCHUYLER,0,0,0,0,0,0,2,38,0
SENECA,0,0,0,0,0,0,8,100,0
STEUBEN,1,0,0,0,0,0,29,342,0
SUFFOLK,66,22,50,214,0,0,290,3964,17
SULLIVAN,1,0,5,2,0,0,11,246,0
TIOGA,0,0,0,0,0,0,5,103,0
TOMPKINS,3,0,3,1,0,0,30,342,0
ULSTER,5,8,51,17,0,0,32,468,2
WARREN,0,0,11,1,0,0,9,164,0
WASHINGTON,1,0,61,1,0,1,18,145,0
WAYNE,2,0,0,0,0,0,9,257,0
WESTCHESTER,48,25,14,56,0,0,245,3381,5
WYOMING,0,0,0,0,0,0,9,118,0
YATES,0,0,0,0,0,0,6,64,0
"",,,,,EASTERN,,,,
"",,CRYPTO-,,DENGUE,EQUINE,,,,EHRLICH/ANAPLAS
"",CHOLERA,SPORIDIOSIS,CYCLOSPORA,FEVER,ENCEPHALITIS,E. COLI O157,EHEC*,EHRLICHIOSIS,UNDETERMINED
ALBANY,0,6,0,1,0,1,2,0,0
ALLEGANY,0,0,0,0,0,0,1,0,0
BROOME,0,2,0,0,0,1,3,0,0
CATTARAUGUS,0,3,0,0,0,0,1,0,0
CAYUGA,0,3,0,0,0,0,0,0,0
CHAUTAUQUA,0,8,0,0,0,0,4,0,0
CHEMUNG,0,7,0,0,0,0,1,0,0
CHENANGO,0,2,0,0,0,0,1,0,0
CLINTON,0,1,0,0,0,0,0,1,0
COLUMBIA,0,0,0,0,0,0,1,3,2
CORTLAND,0,5,0,0,0,0,0,0,0
DELAWARE,0,3,0,0,0,0,0,1,0
DUTCHESS,2,2,3,0,0,2,4,11,0
ERIE,0,6,0,1,0,8,12,0,0
ESSEX,0,1,0,0,0,1,0,1,0
FRANKLIN,0,2,0,0,0,1,1,0,0
FULTON,0,1,0,0,0,0,0,0,0
GENESEE,0,1,0,0,0,0,1,0,0
GREENE,0,1,0,0,0,0,2,0,0
HAMILTON,0,0,0,0,0,0,0,0,0
HERKIMER,0,8,0,0,0,1,1,0,0
JEFFERSON,0,16,0,0,0,0,0,0,0
LEWIS,0,7,0,0,0,0,5,0,0
LIVINGSTON,0,3,0,0,0,0,1,0,0
MADISON,0,12,0,0,0,0,4,0,0
MONROE,0,10,0,1,0,6,13,0,0
MONTGOMERY,0,2,0,0,0,0,2,1,0
NASSAU,0,10,5,6,0,6,6,0,0
NIAGARA,0,2,0,0,0,1,3,0,0
ONEIDA,0,10,0,0,0,3,10,0,0
ONONDAGA,0,22,0,3,2,4,15,0,0
ONTARIO,0,3,0,1,0,1,0,0,0
ORANGE,0,9,1,1,0,2,4,21,6
ORLEANS,0,1,0,0,0,1,1,0,0
OSWEGO,0,4,0,0,1,0,1,1,0
OTSEGO,0,5,0,0,0,0,4,0,0
PUTNAM,0,1,1,0,0,0,0,4,0
RENSSELAER,0,4,0,1,0,1,0,0,0
ROCKLAND,0,4,0,0,0,1,5,2,0
ST. LAWRENCE,0,11,0,0,0,2,0,1,0
SARATOGA,0,8,1,1,0,0,2,2,0
SCHENECTADY,0,2,1,0,0,0,0,0,0
SCHOHARIE,0,5,0,0,0,0,1,0,0
SCHUYLER,0,0,0,0,0,0,0,0,0
SENECA,0,0,0,0,0,0,1,0,0
STEUBEN,0,8,0,0,0,1,0,0,0
SUFFOLK,1,16,3,11,0,4,5,50,0
SULLIVAN,0,0,1,0,0,0,0,2,1
TIOGA,0,1,0,0,0,1,0,0,0
TOMPKINS,0,7,0,0,0,1,6,1,1
ULSTER,0,2,0,0,0,0,4,4,0
WARREN,0,1,0,0,0,1,0,0,0
WASHINGTON,0,2,0,0,0,2,1,0,1
WAYNE,0,4,0,0,0,1,3,0,0
WESTCHESTER,0,15,5,4,0,4,8,3,0
WYOMING,0,0,0,0,0,1,0,0,0
YATES,0,0,0,0,0,0,0,0,0
"",ENCEPHALITIS,,,,HEMOLYTIC,,,,
"",(NON EEE and,,,HAEMOPHILUS,UREMIC,,HEPATITIS B,HEPATITIS B,HEPATITIS C
"",WNV),GIARDIASIS,GONORRHEA,INFLUENZAE,SYNDROME,HEPATITIS A,ACUTE,CHRONIC,ACUTE
ALBANY,3,52,387,5,0,2,1,68,4
ALLEGANY,0,4,9,1,0,0,0,2,0
BROOME,0,5,179,4,0,1,1,14,12
CATTARAUGUS,0,4,21,2,0,0,0,2,0
CAYUGA,0,6,24,2,0,0,0,4,0
CHAUTAUQUA,2,12,135,2,0,0,0,9,2
CHEMUNG,0,4,59,1,0,0,0,0,1
