"",,ANAPLAS-,"ARBO, OTHER",,,,CAMPYLO-,
"",AMEBIASIS,MOSIS,NON-INVASIVE,BABESIOSIS,BOTULISM,BRUCELLOSIS,BACTERIOSIS,CHLAMYDIA
ALBANY,1.3,33.0,0.0,5.2,0.0,0.0,15.2,607.7
ALLEGANY,2.1,0.0,0.0,0.0,0.0,0.0,19.1,195.4
BROOME,0.0,3.6,0.0,0.0,0.0,0.0,10.8,353.2
CATTARAUGUS,0.0,0.0,0.0,0.0,0.0,0.0,14.2,271.6
CAYUGA,0.0,0.0,0.0,0.0,0.0,0.0,27.0,327.5
CHAUTAUQUA,0.8,0.0,0.0,0.8,0.0,0.0,9.3,423.9
CHEMUNG,0.0,1.2,0.0,0.0,0.0,0.0,16.2,317.4
CHENANGO,0.0,2.1,0.0,0.0,0.0,0.0,16.5,238.8
CLINTON,0.0,2.5,0.0,0.0,0.0,0.0,17.3,340.4
COLUMBIA,4.9,224.6,0.0,65.6,0.0,0.0,16.4,309.9
CORTLAND,0.0,0.0,0.0,0.0,0.0,0.0,6.2,355.7
DELAWARE,0.0,6.6,0.0,2.2,0.0,0.0,26.4,186.7
DUTCHESS,1.7,36.3,0.0,40.4,0.3,0.0,13.9,364.7
ERIE,0.5,0.0,0.0,0.0,0.0,0.0,10.4,604.9
ESSEX,0.0,34.1,0.0,0.0,0.0,0.0,18.4,204.7
FRANKLIN,0.0,4.0,0.0,0.0,0.0,2.0,47.6,170.6
FULTON,0.0,9.3,0.0,1.9,0.0,0.0,13.0,308.4
GENESEE,0.0,0.0,0.0,0.0,0.0,0.0,25.6,285.6
GREENE,2.1,82.1,0.0,29.5,0.0,0.0,12.6,271.5
HAMILTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.1
HERKIMER,0.0,3.2,0.0,0.0,0.0,0.0,24.0,198.0
JEFFERSON,0.0,0.0,0.0,0.0,0.0,0.0,52.6,690.3
LEWIS,0.0,0.0,0.0,0.0,0.0,0.0,67.0,234.5
LIVINGSTON,0.0,0.0,0.0,0.0,0.0,0.0,17.1,222.5
MADISON,0.0,0.0,0.0,0.0,0.0,0.0,15.4,274.8
MONROE,0.1,0.0,0.0,0.3,0.0,0.0,15.6,667.1
MONTGOMERY,0.0,12.2,0.0,0.0,0.0,0.0,22.3,401.8
NASSAU,1.3,0.4,0.0,0.5,0.0,0.0,20.2,335.0
NIAGARA,0.5,0.0,0.0,0.0,0.0,0.0,7.1,478.4
ONEIDA,0.0,0.4,0.0,0.0,0.0,0.0,9.5,363.8
ONONDAGA,0.0,0.2,0.0,0.2,0.0,0.0,18.0,575.7
ONTARIO,0.0,0.0,0.0,0.0,0.0,0.0,13.7,289.5
ORANGE,1.8,13.4,0.0,15.8,0.0,0.0,19.5,406.6
ORLEANS,0.0,0.0,0.0,0.0,0.0,0.0,19.3,358.0
OSWEGO,0.0,0.0,0.0,0.0,0.0,0.0,14.3,274.8
OTSEGO,0.0,3.3,0.0,1.7,0.0,0.0,21.6,392.7
PUTNAM,2.0,29.3,0.0,37.4,0.0,0.0,18.2,184.0
RENSSELAER,0.6,105.0,0.0,26.9,0.0,0.0,13.1,461.0
ROCKLAND,2.4,2.1,0.0,5.2,0.0,0.0,34.6,288.9
ST. LAWRENCE,0.9,5.5,0.0,0.9,0.0,0.0,16.4,239.9
SARATOGA,0.4,55.5,0.4,4.4,0.0,0.0,19.4,267.3
SCHENECTADY,0.0,10.4,0.0,2.6,0.0,0.0,23.3,566.1
SCHOHARIE,0.0,35.1,0.0,3.2,0.0,0.0,35.1,297.0
SCHUYLER,0.0,0.0,0.0,0.0,0.0,0.0,22.1,187.9
SENECA,0.0,0.0,0.0,0.0,0.0,0.0,14.4,290.4
STEUBEN,0.0,0.0,0.0,0.0,0.0,0.0,28.9,281.6
SUFFOLK,2.1,2.1,0.0,9.2,0.0,0.0,18.1,329.4
SULLIVAN,1.3,6.7,0.0,1.3,0.0,0.0,18.7,362.3
TIOGA,0.0,2.1,0.0,0.0,0.0,0.0,18.5,147.7
TOMPKINS,1.9,4.8,0.0,1.0,0.0,0.0,22.9,403.4
ULSTER,0.6,42.4,0.0,13.9,0.0,0.0,22.3,316.9
WARREN,0.0,12.4,0.0,1.5,0.0,0.0,17.0,312.9
WASHINGTON,0.0,163.4,0.0,3.2,0.0,0.0,37.2,257.3
WAYNE,0.0,1.1,0.0,0.0,0.0,0.0,12.1,289.7
WESTCHESTER,2.5,3.4,0.0,6.4,0.0,0.0,22.3,391.2
WYOMING,0.0,0.0,0.0,0.0,0.0,0.0,19.6,179.0
YATES,0.0,0.0,0.0,0.0,0.0,0.0,12.0,208.6
"",,,CRYPTO-,,DENGUE,E. COLI,,EHRLICH/ANAPLAS
"",CHIKUNGUNYA,CHOLERA,SPORIDIOSIS,CYCLOSPORIASIS,FEVER,SHIGA-TOXIN,EHRLICHIOSIS,UNDETERMINED
ALBANY,0.0,0.0,1.6,0.6,0.0,1.6,0.6,0.0
ALLEGANY,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0
BROOME,0.0,0.0,1.0,0.0,0.0,1.5,1.5,0.0
CATTARAUGUS,0.0,0.0,5.1,0.0,0.0,2.6,1.3,0.0
CAYUGA,0.0,0.0,6.4,0.0,0.0,3.9,0.0,0.0
CHAUTAUQUA,0.0,0.0,6.2,0.0,0.0,1.5,0.0,0.0
CHEMUNG,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0
CHENANGO,0.0,0.0,20.6,0.0,0.0,2.1,4.1,0.0
CLINTON,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0
COLUMBIA,0.0,0.0,3.3,3.3,0.0,0.0,6.6,3.3
CORTLAND,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0
DELAWARE,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0
DUTCHESS,0.0,0.0,1.7,0.0,0.0,1.7,6.5,0.7
ERIE,0.2,0.0,0.9,0.0,0.0,1.8,0.0,0.0
ESSEX,0.0,0.0,2.6,2.6,0.0,2.6,0.0,0.0
FRANKLIN,0.0,0.0,11.9,2.0,0.0,2.0,0.0,0.0
FULTON,0.0,0.0,1.9,0.0,0.0,1.9,0.0,0.0
GENESEE,0.0,0.0,1.7,0.0,0.0,5.1,0.0,0.0
GREENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMILTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERKIMER,0.0,0.0,6.4,0.0,0.0,6.4,0.0,0.0
JEFFERSON,0.0,0.0,28.1,1.8,0.0,7.9,0.9,0.0
LEWIS,0.0,0.0,55.8,3.7,0.0,37.2,0.0,0.0
LIVINGSTON,0.0,0.0,3.1,0.0,0.0,7.8,0.0,0.0
MADISON,0.0,0.0,15.4,0.0,0.0,4.2,0.0,0.0
MONROE,0.0,0.1,1.6,0.0,0.1,4.0,0.0,0.0
MONTGOMERY,0.0,0.0,2.0,0.0,0.0,4.1,0.0,0.0
NASSAU,0.1,0.0,0.5,0.0,0.1,1.3,0.2,0.1
NIAGARA,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
ONEIDA,0.0,0.0,5.2,0.0,0.0,0.9,0.0,0.0
ONONDAGA,0.0,0.0,2.4,0.0,0.0,3.0,0.0,0.0
ONTARIO,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.0
ORANGE,0.0,0.0,2.1,0.5,0.0,1.1,4.5,0.3
ORLEANS,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0
OSWEGO,0.0,0.0,4.2,0.0,0.0,1.7,0.0,0.0
OTSEGO,0.0,0.0,5.0,0.0,0.0,1.7,3.3,0.0
PUTNAM,0.0,0.0,0.0,0.0,0.0,1.0,5.1,1.0
RENSSELAER,0.0,0.0,1.2,0.0,0.0,1.2,1.9,0.6
ROCKLAND,0.0,0.0,0.9,0.0,0.3,2.8,1.2,0.0
ST. LAWRENCE,0.0,0.0,3.6,0.0,0.0,5.5,0.9,0.0
SARATOGA,0.0,0.0,2.6,0.0,0.0,1.8,0.9,0.0
SCHENECTADY,0.0,0.0,1.3,0.6,0.0,2.6,0.0,0.0
SCHOHARIE,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0
SCHUYLER,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0
SENECA,0.0,0.0,0.0,2.9,0.0,2.9,0.0,0.0
STEUBEN,1.0,0.0,10.3,0.0,0.0,3.1,0.0,0.0
SUFFOLK,0.1,0.0,0.6,0.3,0.1,1.1,3.7,0.1
SULLIVAN,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0
TIOGA,0.0,0.0,14.4,0.0,0.0,0.0,2.1,0.0
TOMPKINS,0.0,0.0,18.1,0.0,1.0,4.8,1.9,0.0
ULSTER,0.0,0.0,0.6,1.1,0.0,1.1,4.5,0.0
WARREN,0.0,0.0,0.0,0.0,0.0,7.7,0.0,1.5
WASHINGTON,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0
WAYNE,0.0,0.0,3.3,0.0,0.0,5.5,0.0,0.0
WESTCHESTER,0.0,0.0,1.2,0.4,0.0,0.7,1.5,0.2
WYOMING,0.0,0.0,4.9,0.0,0.0,2.5,0.0,0.0
YATES,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
"",,,,,,HEMOLYTIC,,,
"",ENCEPHALITIS,,,HAEMOPHILUS,,UREMIC,,HEPATITIS B,HEPATITIS B
"",(NON-WNV),GIARDIASIS,GONORRHEA,INFLUENZAE,HANTAVIRUS,SYNDROME,HEPATITIS A,ACUTE,CHRONIC*
ALBANY,0.3,11.0,168.0,2.9,0.0,0.0,2.6,0.3,25.9
ALLEGANY,2.1,17.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0
BROOME,0.0,5.6,82.9,2.0,0.0,0.0,0.0,0.0,3.6
CATTARAUGUS,0.0,5.1,59.2,1.3,0.0,0.0,0.0,0.0,2.6
CAYUGA,0.0,11.6,28.3,2.6,0.0,0.0,0.0,0.0,5.1
CHAUTAUQUA,0.0,7.7,132.0,2.3,0.0,0.0,0.0,0.0,3.1
CHEMUNG,0.0,3.5,40.5,2.3,0.0,0.0,0.0,0.0,5.8
CHENANGO,0.0,16.5,16.5,6.2,0.0,2.1,0.0,0.0,4.1
CLINTON,0.0,8.6,7.4,4.9,0.0,0.0,0.0,0.0,3.7
COLUMBIA,1.6,6.6,49.2,8.2,0.0,0.0,1.6,0.0,13.1
CORTLAND,0.0,12.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0
DELAWARE,2.2,24.2,13.2,0.0,0.0,0.0,0.0,2.2,0.0
DUTCHESS,0.7,7.5,71.3,3.1,0.0,0.3,1.0,0.7,17.0
ERIE,0.0,9.0,221.4,2.7,0.0,0.0,0.4,0.3,13.4
ESSEX,2.6,13.1,7.9,0.0,0.0,0.0,0.0,0.0,7.9
FRANKLIN,0.0,21.8,11.9,2.0,2.0,0.0,0.0,0.0,6.0
FULTON,0.0,3.7,39.0,1.9,0.0,0.0,1.9,0.0,5.6
GENESEE,0.0,3.4,54.7,5.1,0.0,0.0,0.0,0.0,6.8
GREENE,2.1,2.1,46.3,2.1,0.0,0.0,0.0,0.0,4.2
HAMILTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERKIMER,0.0,11.2,24.0,1.6,0.0,0.0,0.0,0.0,3.2
JEFFERSON,5.3,14.9,107.0,3.5,0.0,0.0,0.9,0.0,10.5
LEWIS,3.7,40.9,18.6,0.0,0.0,0.0,0.0,0.0,0.0
LIVINGSTON,0.0,3.1,15.6,0.0,0.0,0.0,0.0,0.0,1.6
MADISON,0.0,5.6,33.6,1.4,0.0,0.0,1.4,0.0,1.4
MONROE,0.1,5.5,252.9,2.3,0.0,0.1,0.1,0.3,15.8
MONTGOMERY,0.0,10.1,71.0,2.0,0.0,0.0,2.0,2.0,0.0
NASSAU,0.0,5.4,52.7,2.0,0.0,0.0,1.1,0.3,35.6
NIAGARA,0.9,3.3,193.1,2.8,0.0,0.0,0.5,0.5,8.5
ONEIDA,0.4,14.7,70.1,2.2,0.0,0.0,0.0,0.0,23.4
ONONDAGA,0.2,6.2,165.8,1.9,0.0,0.0,0.6,0.6,15.9
ONTARIO,0.0,5.5,60.1,0.9,0.0,0.0,0.9,0.9,6.4
ORANGE,0.5,8.2,77.5,2.9,0.0,0.0,1.1,0.5,13.4
ORLEANS,0.0,0.0,75.0,4.8,0.0,0.0,0.0,0.0,4.8
OSWEGO,0.0,9.2,41.2,0.0,0.0,0.0,0.0,0.0,1.7
OTSEGO,1.7,18.3,43.3,3.3,0.0,0.0,0.0,0.0,6.7
PUTNAM,1.0,14.2,27.3,4.0,0.0,0.0,1.0,0.0,13.1
RENSSELAER,1.2,3.7,110.0,3.1,0.0,0.0,0.6,0.0,10.0
ROCKLAND,1.2,7.7,37.9,3.1,0.0,0.3,0.3,0.3,12.5
ST. LAWRENCE,0.0,9.1,21.8,1.8,0.0,0.0,0.0,0.9,4.5
SARATOGA,1.8,9.2,31.3,1.8,0.0,0.0,0.9,0.0,6.2
SCHENECTADY,0.0,8.4,207.7,4.5,0.0,0.0,0.0,0.6,10.4
SCHOHARIE,0.0,9.6,41.5,3.2,0.0,0.0,0.0,0.0,0.0
SCHUYLER,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0
SENECA,0.0,5.8,28.8,8.6,0.0,0.0,0.0,0.0,11.5
STEUBEN,0.0,10.3,25.8,1.0,0.0,0.0,0.0,1.0,5.2
SUFFOLK,0.4,6.4,50.9,2.8,0.1,0.0,1.0,0.5,19.4
SULLIVAN,0.0,10.7,100.3,2.7,0.0,0.0,0.0,0.0,2.7
TIOGA,0.0,12.3,30.8,2.1,0.0,0.0,0.0,0.0,12.3
TOMPKINS,3.8,10.5,83.0,0.0,0.0,0.0,0.0,0.0,22.9
ULSTER,0.0,7.3,69.2,0.6,0.0,0.0,2.8,0.0,11.2
WARREN,0.0,1.5,23.2,1.5,0.0,0.0,0.0,0.0,4.6
WASHINGTON,1.6,9.7,32.4,1.6,0.0,0.0,0.0,0.0,1.6
WAYNE,0.0,5.5,68.3,6.6,0.0,0.0,0.0,0.0,2.2
WESTCHESTER,0.3,8.7,69.0,1.7,0.0,0.0,1.3,0.3,31.0
WYOMING,0.0,2.5,12.3,0.0,0.0,0.0,0.0,0.0,2.5
YATES,0.0,0.0,20.1,12.0,0.0,0.0,0.0,0.0,4.0
"",,,"HERPES INF,",LABORATORY,,,,LYMPHO-
"",HEPATITIS C,HEPATITIS C,INFANT <60,CONFIRMED,,,LYME,GRANULOMA
"",ACUTE,CHRONIC*,DAYS**,INFLUENZA,LEGIONELLOSIS,LISTERIOSIS,DISEASE***,VENEREUM
ALBANY,4.2,63.5,0.0,273.0,2.6,0.6,148.6,0.0
ALLEGANY,4.2,80.7,0.0,471.6,14.9,0.0,29.7,0.0
BROOME,8.2,95.7,0.0,714.2,5.1,1.0,204.8,0.0
CATTARAUGUS,0.0,121.0,0.0,153.2,5.1,0.0,37.3,0.0
CAYUGA,0.0,69.4,14.0,841.2,5.1,1.3,25.7,0.0
CHAUTAUQUA,0.8,111.2,6.9,435.5,3.1,0.8,3.1,0.0
CHEMUNG,0.0,84.6,0.0,719.4,7.0,0.0,133.2,1.2
CHENANGO,2.1,84.4,0.0,1045.7,2.1,2.1,261.4,0.0
CLINTON,11.1,83.9,0.0,366.3,1.2,0.0,67.8,0.0
COLUMBIA,4.9,67.2,0.0,380.4,1.6,1.6,711.6,0.0
CORTLAND,4.2,99.9,0.0,622.0,45.8,0.0,95.7,0.0
DELAWARE,11.0,50.5,0.0,599.7,2.2,2.2,272.4,0.0
DUTCHESS,1.4,82.5,3.8,336.2,3.1,0.0,197.3,0.0
ERIE,1.1,99.8,1.0,274.4,9.4,0.5,9.7,0.0
ESSEX,2.6,89.2,0.0,217.8,5.2,0.0,317.6,0.0
FRANKLIN,11.9,57.5,0.0,398.7,0.0,0.0,81.3,0.0
FULTON,1.9,89.2,19.2,321.4,1.9,0.0,74.3,0.0
GENESEE,1.7,63.3,0.0,601.9,6.8,3.4,10.3,0.0
GREENE,6.3,94.7,0.0,376.8,6.3,0.0,753.6,0.0
HAMILTON,0.0,44.0,0.0,330.3,22.0,0.0,22.0,0.0
HERKIMER,0.0,71.9,0.0,884.8,4.8,0.0,76.7,0.0
JEFFERSON,1.8,54.4,0.0,531.6,2.6,0.0,58.8,0.0
