"",,,ANAPLAS-,"ARBO, OTHER",,,,CAMPYLO-,
"",AIDS*,AMEBIASIS,MOSIS,NON-INVASIVE,BABESIOSIS,BOTULISM,BRUCELLOSIS,BACTERIOSIS,CHANCROID
ALBANY,6.8,4.2,6.8,0.0,1.6,0.0,0.0,19.2,0.0
ALLEGANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0
BROOME,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0
CATTARAUGUS,1.3,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0
CAYUGA,1.3,1.3,0.0,0.0,0.0,0.0,0.0,23.9,0.0
CHAUTAUQUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0
CHEMUNG,2.3,0.0,1.1,0.0,0.0,0.0,0.0,28.2,0.0
CHENANGO,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.2,0.0
CLINTON,3.7,0.0,1.2,0.0,1.2,0.0,0.0,11.0,0.0
COLUMBIA,8.0,3.2,80.3,0.0,17.7,0.0,0.0,19.3,0.0
CORTLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0
DELAWARE,2.1,0.0,4.3,0.0,2.1,0.0,0.0,27.8,0.0
DUTCHESS,2.7,0.3,20.9,0.0,23.9,0.3,0.0,14.1,0.0
ERIE,4.6,1.0,0.0,0.0,0.1,0.0,0.0,11.7,0.0
ESSEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0
FRANKLIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0
FULTON,1.8,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0
GENESEE,3.4,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0
GREENE,0.0,0.0,45.4,0.0,12.4,0.0,0.0,12.4,0.0
HAMILTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9,0.0
HERKIMER,3.1,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0
JEFFERSON,0.8,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.0
LEWIS,0.0,3.7,0.0,0.0,0.0,0.0,0.0,40.5,0.0
LIVINGSTON,3.1,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0
MADISON,5.5,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0
MONROE,5.5,0.9,0.0,0.0,0.1,0.0,0.0,16.1,0.0
MONTGOMERY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,0.0
NASSAU,3.8,1.3,0.2,0.0,0.7,0.1,0.0,21.2,0.0
NIAGARA,2.8,0.5,0.5,0.0,0.0,0.0,0.0,13.1,0.0
ONEIDA,4.7,0.0,0.0,0.0,0.9,0.0,0.0,11.6,0.0
ONONDAGA,4.9,0.0,0.2,0.0,0.0,0.0,0.0,36.5,0.0
ONTARIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0
ORANGE,1.9,2.1,7.2,0.0,9.1,0.0,0.0,12.2,0.0
ORLEANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0
OSWEGO,0.8,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.0
OTSEGO,1.6,0.0,0.0,0.0,1.6,0.0,0.0,24.3,0.0
PUTNAM,1.0,1.0,8.0,0.0,22.1,0.0,0.0,21.1,0.0
RENSSELAER,2.5,0.0,48.8,0.6,4.4,0.0,0.0,13.8,0.0
ROCKLAND,3.7,2.5,0.6,0.0,3.7,0.0,0.0,26.5,0.0
